country;variable;description;code;2014
CHE;K;Manufacture of fabricated metal products, except machinery and equipment;C25;7 436
CHE;K;Manufacture of computer, electronic and optical products;C26;42 861
CHE;K;Manufacture of electrical equipment;C27;4 525
CHE;K;Manufacture of machinery and equipment n.e.c.;C28;11 441
CHE;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;1 158
CHE;K;Manufacture of other transport equipment;C30;3 214
CHE;K;"Manufacture of furniture; other manufacturing";C31_C32;4 301
CHE;K;Repair and installation of machinery and equipment;C33;898
CHE;K;Electricity, gas, steam and air conditioning supply;D35;29 872
CHE;K;Water collection, treatment and supply;E36;19 159
CHE;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;0
CHE;K;Construction;F;13 647
CHE;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;6 264
CHE;K;Wholesale trade, except of motor vehicles and motorcycles;G46;48 947
CHE;K;Retail trade, except of motor vehicles and motorcycles;G47;23 864
CHE;K;Land transport and transport via pipelines;H49;24 863
CHE;K;Water transport;H50;2 508
CHE;K;Air transport;H51;5 213
CHE;K;Warehousing and support activities for transportation;H52;25 401
CHE;K;Postal and courier activities;H53;2 863
CHE;K;Accommodation and food service activities;I;13 881
CHE;K;Publishing activities;J58;1 345
CHE;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;0
CHE;K;Telecommunications;J61;17 670
CHE;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;7 238
CHE;K;Financial service activities, except insurance and pension funding;K64;46 573
CHE;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;50 725
CHE;K;Activities auxiliary to financial services and insurance activities;K66;0
CHE;K;Real estate activities;L68;812 082
CHE;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;20 216
CHE;K;"Architectural and engineering activities; technical testing and analysis";M71;0
CHE;K;Scientific research and development;M72;24 110
CHE;K;Advertising and market research;M73;0
CHE;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;1 309
CHE;K;Administrative and support service activities;N;35 235
CHE;K;"Public administration and defence; compulsory social security";O84;170 126
CHE;K;Education;P85;81 665
CHE;K;Human health and social work activities;Q;103 372
CHE;K;Other service activities;R_S;30 387
CHE;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
CHE;K;Activities of extraterritorial organizations and bodies;U;0
CHN;K;Crop and animal production, hunting and related service activities;A01;5 608 576
CHN;K;Forestry and logging;A02;288 202
CHN;K;Fishing and aquaculture;A03;636 988
CHN;K;Mining and quarrying;B;9 107 111
CHN;K;Manufacture of food products, beverages and tobacco products;C10-C12;7 107 846
CHN;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;4 866 248
CHN;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;1 360 774
CHN;K;Manufacture of paper and paper products;C17;1 075 089
CHN;K;Printing and reproduction of recorded media;C18;712 262
CHN;K;Manufacture of coke and refined petroleum products ;C19;2 083 335
CHN;K;Manufacture of chemicals and chemical products ;C20;4 868 035
CHN;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;1 537 731
CHN;K;Manufacture of rubber and plastic products;C22;2 028 673
CHN;K;Manufacture of other non-metallic mineral products;C23;3 063 176
CHN;K;Manufacture of basic metals;C24;5 708 954
CHN;K;Manufacture of fabricated metal products, except machinery and equipment;C25;2 014 119
CHN;K;Manufacture of computer, electronic and optical products;C26;4 367 151
CHN;K;Manufacture of electrical equipment;C27;2 887 840
CHN;K;Manufacture of machinery and equipment n.e.c.;C28;4 622 183
CHN;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;2 772 181
CHN;K;Manufacture of other transport equipment;C30;1 020 421
CHN;K;"Manufacture of furniture; other manufacturing";C31_C32;2 743 008
CHN;K;Repair and installation of machinery and equipment;C33;0
CHN;K;Electricity, gas, steam and air conditioning supply;D35;10 389 803
CHN;K;Water collection, treatment and supply;E36;623 703
CHN;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;782 312
CHN;K;Construction;F;2 267 963
CHN;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;0
CHN;K;Wholesale trade, except of motor vehicles and motorcycles;G46;3 537 625
CHN;K;Retail trade, except of motor vehicles and motorcycles;G47;824 196
CHN;K;Land transport and transport via pipelines;H49;7 378 412
CHN;K;Water transport;H50;3 243 918
CHN;K;Air transport;H51;763 390
CHN;K;Warehousing and support activities for transportation;H52;343 441
CHN;K;Postal and courier activities;H53;417 202
CHN;K;Accommodation and food service activities;I;2 324 722
CHN;K;Publishing activities;J58;0
CHN;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;0
CHN;K;Telecommunications;J61;3 769 641
CHN;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;227 170
CHN;K;Financial service activities, except insurance and pension funding;K64;314 352
CHN;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;26 652
CHN;K;Activities auxiliary to financial services and insurance activities;K66;0
CHN;K;Real estate activities;L68;59 664 903
CHN;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;1 735 841
CHN;K;"Architectural and engineering activities; technical testing and analysis";M71;0
CHN;K;Scientific research and development;M72;278 014
CHN;K;Advertising and market research;M73;0
CHN;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;1 010 456
CHN;K;Administrative and support service activities;N;259 802
CHN;K;"Public administration and defence; compulsory social security";O84;5 334 969
CHN;K;Education;P85;3 595 765
CHN;K;Human health and social work activities;Q;1 384 558
CHN;K;Other service activities;R_S;21 131 294
CHN;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
CHN;K;Activities of extraterritorial organizations and bodies;U;0
CYP;K;Crop and animal production, hunting and related service activities;A01;738
CYP;K;Forestry and logging;A02;6
CYP;K;Fishing and aquaculture;A03;59
CYP;K;Mining and quarrying;B;133
CYP;K;Manufacture of food products, beverages and tobacco products;C10-C12;862
CYP;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;97
CYP;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;108
CYP;K;Manufacture of paper and paper products;C17;34
CYP;K;Printing and reproduction of recorded media;C18;69
CYP;K;Manufacture of coke and refined petroleum products ;C19;0
CYP;K;Manufacture of chemicals and chemical products ;C20;63
CYP;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;128
CYP;K;Manufacture of rubber and plastic products;C22;66
CYP;K;Manufacture of other non-metallic mineral products;C23;353
CYP;K;Manufacture of basic metals;C24;37
CYP;K;Manufacture of fabricated metal products, except machinery and equipment;C25;152
CYP;K;Manufacture of computer, electronic and optical products;C26;4
CYP;K;Manufacture of electrical equipment;C27;15
CYP;K;Manufacture of machinery and equipment n.e.c.;C28;21
CYP;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;9
CYP;K;Manufacture of other transport equipment;C30;1
